FEEDER,CAPACITY
6A21,4882.0
6A22,4980.1
6A23,4490.4
6A24,4862.9
6A25,4797.7
6A31,5000.0
6A32,4690.2
6A33,4122.5
6A34,4710.1
6A35,4971.9
6A57,9990.3
6A66,9643.4
6A67,9980.4
6A69,9968.1
6E21,4251.0
6E22,3700.0
6E23,4681.3
6E24,4974.6
6E25,4324.7
6E26,4817.4
6E27,2530.0
6E28,2320.0
6E29,4385.8
6E30,4641.0
6E31,4860.0
6E32,4930.0
6E33,4893.5
6E34,4101.5
6E35,4776.7
6E36,2822.0
6E37,4916.7
6E38,5000.0
6E39,4030.3
6E40,4960.3
B221,5000.0
B222,4919.4
B223,4661.1
B224,4889.0
B225,5000.0
B226,4990.4
B227,4167.5
B228,5000.0
B229,500.0
B230,5000.0
B231,4893.7
B232,4963.8
B233,4692.9
B234,3899.7
B235,4406.6
B236,5000.0
B237,4353.6
B238,4967.9
B239,5000.0
B240,5000.0
B521,4842.1
B522,4397.8
B523,4807.6
B524,2519.7
B525,4885.7
B526,4292.5
B527,4851.7
B528,4520.9
B529,4529.6
B530,4588.6
B531,4882.0
B532,4560.7
B533,4768.5
B534,4995.0
B535,4733.0
B536,4957.6
B537,4737.1
B538,2232.3
B539,4461.7
B540,4960.7
B621,5000.0
B622,4858.9
B623,4993.0
B624,4950.2
B625,4970.6
B631,5000.0
B632,4498.8
B633,5000.0
B634,4987.7
B635,4936.8
B665,9490.5
B666,9941.5
B667,8264.2
B668,9977.9
B731,4496.5
B732,4974.8
B733,4884.8
B734,4043.1
B735,4873.5
B736,4545.7
B737,4952.7
B738,4560.0
B739,4991.0
B740,4980.2
B755,9639.0
B756,9996.9
B757,9733.9
B758,9854.7
B759,9992.8
B765,4653.4
B767,6299.4
B768,10000.0
B769,9506.2
B821,4635.2
B822,3350.0
B825,5000.0
B826,4793.2
B828,4820.5
B829,5000.0
B921,4510.0
B922,5000.0
B923,5000.0
B924,4849.7
B925,5000.0
B931,5000.0
B932,4985.0
B933,4810.0
B934,4973.9
B935,4995.3
B955,10000.0
B956,9991.6
B957,9651.2
B959,9929.2
B966,7949.5
B967,9630.8
BA21,4599.8
BA22,4951.0
BA23,3908.2
BA24,4993.7
BA26,4996.4
BA27,5000.0
BA28,4757.3
BA29,5000.0
BA30,4060.0
BA31,4895.1
BA32,4974.6
BA33,5000.0
BA34,4989.1
BA35,4991.6
BA36,4410.8
BA37,4980.2
BA38,5000.0
BA39,5000.0
BA40,4468.0
BA41,2714.4
BA43,4993.6
BA45,4994.4
BA46,5000.0
BC31,4995.7
BC32,4952.1
BC33,4913.0
BC34,5000.0
BC35,5000.0
BC36,5000.0
BC37,4946.0
BC38,4900.1
BC39,4877.5
BC40,5000.0
BC41,5000.0
BC42,5000.0
BC43,4996.2
BC45,4980.8
BC46,4969.7
BD31,4862.7
BD32,2101.3
BD33,4891.4
BD34,0.0
BD35,4967.0
BD41,4264.3
BD42,0.0
BD43,4879.1
BD45,4935.7
BD46,0.0
BE31,4791.3
BE32,2561.1
BE33,3867.3
BE34,4605.3
BE35,4903.9
BE36,4900.2
BE37,4588.3
BE38,4900.2
BE39,3800.0
BE40,4969.9
BF31,4990.3
BF32,5000.0
BF33,4934.5
BF34,4991.7
BF35,4931.2
BF36,4826.6
BF37,5000.0
BF38,0.0
BF39,4811.9
BG31,4646.6
BG32,5000.0
BG33,5000.0
BG34,4110.0
BG35,4829.9
BG36,5000.0
BG37,4969.9
BG38,4960.4
BH20,4988.6
BH21,3819.6
BH22,4881.1
BH23,4911.1
BH24,4500.3
BH25,3920.0
BH26,4971.4
BH27,4541.0
BH28,4900.2
BH29,4992.1
BH30,4942.0
BH31,4975.9
BH32,3500.7
BH33,4508.6
BH34,4765.8
BH35,4995.0
BH36,4292.7
BH37,4498.7
BH38,4856.2
BH39,4982.7
BH40,4971.0
BH41,0.0
BH42,4993.5
BH43,4980.6
BI31,4990.8
