FEEDER,CAPACITY
﻿CA31,5450.3
﻿CA32,5500.0
﻿CA33,5500.0
﻿CA34,5095.9
﻿CA35,5500.0
﻿CA36,5500.0
﻿CA37,5500.0
﻿CA38,5500.0
﻿CA39,5482.3
﻿CA40,5500.0
﻿CA41,5500.0
﻿CA42,5494.6
﻿CA43,5500.0
﻿CA44,5500.0
﻿CA45,5500.0
﻿CB31,5500.0
﻿CB32,5500.0
﻿CB33,5500.0
﻿CB34,5500.0
﻿CB36,5500.0
﻿CB37,5495.5
﻿CB38,5496.0
﻿CB40,5500.0
﻿CC31,5500.0
﻿CC32,5500.0
﻿CC33,5458.8
﻿CC34,5500.0
﻿CC35,5500.0
﻿CC36,5500.0
﻿CC37,5496.2
﻿CC38,5500.0
﻿CC39,5500.0
﻿CC40,5500.0
﻿CC42,5500.0
﻿CC43,5500.0
﻿CC44,5500.0
﻿CC45,5500.0
﻿CD31,5500.0
﻿CD32,5500.0
﻿CD33,4533.3
﻿CD34,5500.0
﻿CD35,5500.0
﻿CE31,5470.4
﻿CE32,5284.6
﻿CE33,5452.9
﻿CE34,5480.8
﻿CE35,5500.0
﻿CE36,5500.0
﻿CE37,5485.6
﻿CE38,5500.0
﻿CE39,5480.0
﻿CE40,5385.8
﻿CF20,1380.0
﻿CF21,5500.0
﻿CF22,5475.0
﻿CF23,5500.0
﻿CF24,5500.0
﻿CF25,5495.0
﻿CF26,5500.0
﻿CF27,5455.3
﻿CF28,5500.0
﻿CF54,10989.0
﻿CF57,11000.0
﻿CF58,11000.0
﻿CG32,5431.6
﻿CG33,5500.0
﻿CG34,5468.1
﻿CH31,5400.2
﻿CH32,5500.0
﻿CH33,5500.0
﻿CH34,5487.8
﻿CH35,2840.0
﻿CH36,5500.0
﻿CH37,5500.0
﻿CH38,5500.0
﻿CH39,5491.9
﻿CH40,5500.0
﻿CI31,5500.0
﻿CI32,5500.0
﻿CI33,5500.0
﻿CI34,5500.0
﻿CI35,5500.0
﻿CI36,5500.0
﻿CI37,5500.0
﻿CI38,4070.0
﻿CI39,5500.0
﻿CI40,5494.5
﻿CJ31,5469.0
﻿CJ33,5500.0
﻿CJ34,5500.0
﻿CJ35,5500.0
﻿CJ36,5500.0
﻿CJ37,5459.6
﻿CJ40,5500.0
﻿CK31,5500.0
﻿CK32,5001.0
﻿CK33,5500.0
﻿CK34,5500.0
﻿CK35,5500.0
﻿CK36,0.0
﻿CK37,5500.0
﻿CK38,5500.0
﻿CK39,5500.0
﻿CK40,5469.4
﻿CL34,5500.0
﻿CL35,5500.0
﻿CL40,5500.0
﻿CM20,5500.0
﻿CM22,5471.2
﻿CM23,5500.0
﻿CM25,5500.0
﻿CM26,5500.0
﻿CM27,5489.6
﻿CM28,5500.0
﻿CM29,5500.0
﻿CM42,5500.0
﻿CM43,5496.7
﻿CM44,5500.0
﻿CM45,5500.0
﻿CM46,5500.0
﻿CM47,5379.1
﻿CM48,5500.0
﻿CM49,5500.0
﻿CN31,5500.0
﻿CN32,5500.0
﻿CN33,5500.0
﻿CN34,5500.0
﻿CN35,5500.0
﻿CN36,5500.0
﻿CN37,5500.0
﻿CN38,5500.0
﻿CN39,5500.0
﻿CN40,5500.0
﻿CP31,5500.0
﻿CP32,5500.0
﻿CP33,5459.7
﻿CP34,5500.0
﻿CP35,5196.1
﻿CP36,5500.0
﻿CP37,5500.0
﻿CP38,5423.8
﻿CP39,5500.0
﻿CP40,5483.5
﻿CQ31,5411.2
﻿CQ32,5496.5
﻿CQ33,5500.0
﻿CQ34,5500.0
﻿CQ35,5475.0
﻿CQ36,5500.0
﻿CQ37,5500.0
﻿CQ38,5500.0
﻿CQ39,5500.0
﻿CQ40,5500.0
﻿CQ51,11000.0
﻿CQ52,11000.0
﻿CQ53,11000.0
﻿CQ54,11000.0
﻿CQ55,11000.0
﻿CQ57,11000.0
﻿CQ58,11000.0
﻿CQ59,11000.0
﻿CQ60,11000.0
﻿CR31,5500.0
﻿CR32,5500.0
﻿CR33,4950.0
﻿CR37,5500.0
﻿CR38,5500.0
﻿CR40,5500.0
﻿CR41,4730.0
﻿CR42,5500.0
﻿CR46,5470.2
﻿CR47,5500.0
﻿CS31,5500.0
﻿CS33,5500.0
﻿CS40,5500.0
﻿CS41,5500.0
﻿CU32,5500.0
﻿CU33,5500.0
﻿CU35,5500.0
﻿CV31,850.0
﻿CV32,5412.0
﻿CV33,2190.0
﻿CV34,5402.3
﻿CV36,1230.0
﻿CV37,4580.0
﻿CV38,3100.0
﻿CV39,1350.0
﻿CX31,5461.4
﻿CX32,5233.0
﻿CX33,2750.0
﻿CX34,5325.8
﻿CX35,5500.0
﻿CX36,5454.6
﻿CX37,5500.0
﻿CX38,5480.0
﻿CX39,5500.0
﻿CY31,5500.0
﻿CY32,5385.2
﻿CY33,5500.0
﻿CY34,5500.0
﻿CY35,5500.0
﻿CY36,5500.0
﻿CY37,5492.8
﻿CY38,5500.0
﻿CY39,5497.0
﻿CY40,5500.0
﻿CY41,5500.0
﻿CY42,5090.0
﻿CY43,5500.0
﻿CY44,5500.0
﻿CY45,5500.0
﻿CZ21,5500.0
﻿CZ22,5500.0
﻿CZ23,5442.4
﻿CZ24,5500.0
﻿CZ25,5500.0
﻿CZ26,5497.9
﻿CZ27,5500.0
﻿CZ28,5400.2
﻿CZ29,5500.0
﻿CZ30,5470.4
﻿CZ54,11000.0
﻿CZ56,11000.0
﻿CZ57,10986.8
