FEEDER,CAPACITY
﻿U651,9997.0
﻿U652,9901.2
﻿U653,0.0
﻿U654,10000.0
﻿U661,9842.4
﻿U662,8034.4
﻿U663,10000.0
﻿U664,9842.4
﻿UA21,5000.0
﻿UA22,4904.4
﻿UA23,5000.0
﻿UA24,4331.3
﻿UA25,3747.0
﻿UA26,5000.0
﻿UA27,4239.7
﻿UA28,4851.9
﻿UA29,4486.6
﻿UA30,3382.8
﻿UB21,4196.0
﻿UB22,753.3
﻿UB23,0.0
﻿UB24,856.4
﻿UB25,4947.4
﻿UB26,5000.0
﻿UB27,5000.0
﻿UB28,0.0
﻿UB29,0.0
﻿UB30,0.0
﻿UB31,0.0
﻿UB32,0.0
﻿UB33,383.3
﻿UB34,4620.0
﻿UB35,0.0
﻿UC01,3756.6
﻿UC02,0.0
﻿UC03,4737.2
﻿UD21,4723.4
﻿UD22,0.0
﻿UD23,164.6
﻿UD24,1580.7
﻿UD25,0.0
﻿UD26,0.0
﻿UD27,4620.7
﻿UD28,0.0
﻿UD29,2774.8
﻿UD30,5000.0
﻿UD51,9941.5
﻿UD52,9928.0
﻿UE21,2689.2
﻿UE22,4521.7
﻿UE23,2379.6
﻿UE24,4481.8
﻿UE25,5000.0
﻿UE26,1740.0
﻿UE27,4004.0
﻿UE28,4985.3
﻿UE29,4520.2
﻿UE30,4317.0
﻿UE31,0.0
﻿UE32,4844.2
﻿UE33,3442.7
﻿UE34,0.0
﻿UE35,0.0
﻿UF21,5000.0
﻿UF22,3935.6
﻿UF23,3909.0
﻿UF24,0.0
﻿UF25,3423.8
﻿UF26,3998.5
﻿UF27,0.0
﻿UF28,3930.8
﻿UF29,0.0
﻿UF30,0.0
﻿UF31,3237.4
﻿UF32,0.0
﻿UF33,4127.0
﻿UF34,3699.5
﻿UF35,2680.0
﻿UH21,4621.7
﻿UH22,4990.2
﻿UH23,4800.2
﻿UH24,3880.6
﻿UH25,0.0
﻿UH26,320.4
﻿UH27,402.0
﻿UH28,0.0
﻿UH29,4495.5
﻿UH30,5000.0
﻿UI01,4586.7
﻿UI02,5000.0
﻿UI04,4655.9
﻿UI05,2719.1
﻿UI06,4824.8
﻿UI11,4638.6
﻿UI12,3539.7
﻿UI13,4934.9
﻿UI14,4166.1
﻿UI58,10000.0
﻿UI59,2972.5
﻿UI66,9307.0
﻿UI67,9683.8
﻿UI68,8843.5
﻿UI69,9852.1
﻿UI70,9965.5
﻿UJ21,3000.0
﻿UJ22,0.0
﻿UJ23,2620.0
﻿UJ24,0.0
﻿UJ25,1040.0
﻿UJ26,3880.0
﻿UJ27,1360.0
﻿UJ28,0.0
﻿UJ29,1060.0
﻿UJ30,3860.0
﻿UK21,4145.6
﻿UK22,4900.2
﻿UK23,2812.7
﻿UK24,3695.5
﻿UK25,0.0
﻿UK31,0.0
﻿UK32,914.9
﻿UK33,2302.3
﻿UK34,0.0
﻿UK35,5000.0
﻿UK51,8857.1
﻿UK52,9854.2
﻿UK53,10000.0
﻿UK54,10000.0
﻿UL01,2347.4
﻿UL02,5000.0
﻿UL03,3085.5
﻿UL04,4940.3
﻿UL05,4901.3
﻿UL11,4980.4
﻿UL12,5000.0
﻿UL13,4717.0
﻿UL14,4813.5
﻿UL15,4976.4
﻿UL56,10000.0
﻿UL57,9948.0
﻿UL58,9191.1
﻿UL59,9994.9
﻿UL60,9548.8
﻿UL66,9677.4
﻿UL67,9861.7
﻿UL68,9859.7
﻿UL69,9910.0
﻿UL70,9800.9
﻿UM51,9638.6
﻿UM52,9525.3
﻿UM53,9833.0
﻿UM54,10000.0
﻿UM61,9625.5
﻿UM62,10000.0
﻿UM63,9988.8
﻿UN01,3606.5
﻿UN02,3062.1
﻿UN03,2202.2
﻿UN04,0.0
﻿UN05,1248.1
﻿UN11,0.0
﻿UN12,2860.0
﻿UN13,4361.3
﻿UN14,3645.0
﻿UN15,2640.0
﻿UN56,9851.4
﻿UN58,8733.8
﻿UN59,9344.6
﻿UN60,10000.0
﻿UN66,10000.0
﻿UN67,9901.7
﻿UN68,8848.6
﻿UN69,9337.6
﻿UN70,7994.3
﻿UO21,4220.5
﻿UO22,4830.1
﻿UO23,0.0
﻿UO24,4726.9
﻿UO25,4884.8
﻿UO31,4866.2
﻿UO32,230.0
﻿UO33,4336.0
﻿UO34,4907.0
﻿UO35,3425.2
﻿UO51,9984.4
﻿UO52,9919.0
﻿UO53,9964.0
﻿UP21,0.0
﻿UP22,3475.3
﻿UP23,0.0
﻿UP24,4000.1
﻿UP25,3580.0
﻿UP26,3800.1
﻿UP27,2790.0
﻿UP28,0.0
﻿UP29,1149.0
﻿UP30,2025.2
﻿UQ21,4805.5
﻿UQ22,4395.8
﻿UQ23,4236.0
﻿UQ24,3397.2
﻿UQ25,4972.4
﻿UQ26,3117.0
﻿UQ27,5000.0
﻿UQ28,2841.5
﻿UQ29,4870.4
﻿UQ30,1996.8
﻿UQ31,3296.0
﻿UQ32,4632.7
﻿UQ33,0.0
﻿UQ34,4318.0
﻿UR21,4663.5
﻿UR22,220.0
﻿UR23,0.0
﻿UR24,0.0
﻿UR26,5000.0
﻿UR27,0.0
﻿UR28,2485.6
﻿UR29,0.0
﻿UR30,5000.0
﻿UT52,9980.2
﻿UT53,9619.9
﻿UT54,9000.8
﻿UT57,8950.1
﻿UT59,9898.5
﻿UT61,9628.7
﻿UT63,10000.0
﻿UT64,10000.0
﻿UT66,10000.0
﻿UT67,10000.0
﻿UT70,9071.8
﻿UU21,4716.6
﻿UU22,4776.3
﻿UU23,4960.1
﻿UU24,4488.2
﻿UU25,4980.2
﻿UU26,5000.0
﻿UU29,5000.0
﻿UU34,2558.0
﻿UU35,5000.0
﻿UV01,4937.9
﻿UV02,4908.3
﻿UV03,5000.0
﻿UV04,5000.0
﻿UV05,2388.5
﻿UV11,4929.5
﻿UV12,4796.9
﻿UV13,4930.2
﻿UV14,0.0
﻿UV15,4535.8
﻿UV56,10000.0
﻿UV57,9867.7
﻿UV58,9950.0
﻿UV59,10000.0
﻿UV60,10000.0
﻿UV66,9596.8
﻿UV67,10000.0
﻿UV68,8209.4
﻿UV69,9822.9
﻿UV70,10000.0
﻿UW21,4953.5
﻿UW22,3773.6
﻿UW23,0.0
﻿UW24,4860.1
﻿UW25,5000.0
﻿UW26,0.0
﻿UW27,3130.2
﻿UW28,3249.4
﻿UW29,0.0
﻿UW30,0.0
﻿UW31,4750.0
﻿UW32,4186.5
﻿UW33,3060.0
﻿UW34,5000.0
﻿UW35,4522.7
﻿UX01,0.0
﻿UX02,2938.4
﻿UX03,4980.2
﻿UX04,3432.2
﻿UX05,5000.0
﻿UX06,4957.7
﻿UX07,4959.5
﻿UX08,3724.3
﻿UX09,5000.0
﻿UX10,460.0
﻿UX11,4766.0
﻿UX12,0.0
﻿UX13,4372.6
﻿UX14,0.0
﻿UX15,5000.0
﻿UX16,4590.1
﻿UX17,400.0
﻿UX18,4778.3
﻿UX19,5000.0
﻿UX20,4459.9
﻿UY51,10000.0
﻿UY52,10000.0
﻿UY53,9503.2
﻿UY56,9933.8
﻿UY57,4244.4
﻿UY58,9791.7
﻿UY61,10000.0
﻿UY62,10000.0
﻿UY65,10000.0
﻿UY66,9500.0
﻿UY67,9038.3
﻿UY69,10000.0
﻿UY70,9776.3
