FEEDER,CAPACITY
9A52,7589.1
9A53,8130.3
9A62,7318.6
9A63,10000.0
9A64,7266.1
9A65,9500.3
9B52,8275.7
9B53,5615.2
9B54,7024.3
9B55,7312.0
9B57,7837.7
9B62,2020.6
9B63,2707.0
9B64,8943.9
9B65,6488.9
9C20,5000.0
9C22,4979.8
9C23,3585.3
9C24,4660.6
9C26,1640.0
9C27,4727.6
9C28,5000.0
9C29,520.0
9C30,4971.8
9C31,5000.0
9C32,4278.0
9C33,4953.5
9C34,4368.7
9C35,4918.1
9C36,4941.7
9C37,4954.8
9C38,4429.1
9C39,790.0
9C40,4982.1
9C41,4172.2
9C43,4870.2
9C44,0.0
9C45,5000.0
9C46,4733.0
9C47,4960.4
9C48,5000.0
9C49,5000.0
9F51,6692.5
9F52,3770.4
9F54,9531.2
9F56,8450.8
9F57,6614.4
9F58,7131.4
9F61,10000.0
9F62,8576.5
9F63,5271.0
9F64,7589.0
9F65,7011.6
9F66,9929.2
9F67,10000.0
9F68,7118.6
9G20,0.0
9G22,3291.8
9G23,0.0
9G25,206.3
9G27,5000.0
9G28,0.0
9G29,787.6
9G30,494.5
9G31,934.4
9G32,2220.0
9G33,2740.3
9G34,0.0
9G35,3923.0
9G36,0.0
9G37,960.0
9G38,0.0
9G39,1770.0
9H21,4693.5
9H22,4258.2
9H23,1916.6
9H24,5000.0
9H25,3902.3
9H26,3294.6
9H27,5000.0
9H28,4832.4
9H29,4849.1
9H31,2820.0
9H32,4781.3
9H33,4841.1
9H34,472.3
9H35,3563.3
9H36,4730.0
9H37,3508.4
9H38,4335.7
9H39,4731.7
9I20,4518.0
9I21,4853.5
9I22,4204.4
9I23,4618.7
9I24,4973.5
9I25,4874.0
9I26,5000.0
9I27,4619.6
9I28,995.2
9I29,4938.3
9I30,925.3
9I31,5000.0
9I32,3428.0
9I33,4662.0
9I34,5000.0
9I35,4260.5
9I36,4742.9
9I37,4960.4
9I38,203.7
9I39,4702.9
9J11,4845.9
9J12,4786.3
9J13,3342.4
9J14,4454.0
9J15,4714.8
9J21,0.0
9J22,4810.0
9J23,4938.5
9J24,3967.8
9J25,4523.2
9J31,2821.3
9J32,4839.4
9J33,4847.9
9J34,5000.0
9J35,4593.6
9K21,5000.0
9K22,4985.6
9K23,4677.8
9K24,4984.4
9K25,4597.3
9K26,4945.4
9K27,4586.4
9K28,4990.2
9K29,4787.2
9K30,4552.6
9K31,4928.7
9K32,4514.4
9K33,4600.9
9K34,4957.1
9K35,4923.8
9K36,4994.8
9K37,4955.8
9K38,4700.0
9K39,4980.0
9K40,4807.6
9M20,1860.0
9M21,3986.5
9M22,0.0
9M23,4347.1
9M24,3178.3
9M25,0.0
9M26,4413.1
9M27,3890.0
9M28,0.0
9M29,4700.0
9M30,2418.9
9M31,4915.7
9M33,1860.0
9M34,4586.7
9M35,4965.1
9M38,0.0
9M39,3990.1
9P10,5000.0
9P11,4530.4
9P12,5000.0
9P14,5000.0
9P15,4995.1
9P16,4961.0
9P17,4976.8
9P19,4995.2
9P21,4738.5
9P23,4260.0
9P24,4976.4
9P25,4900.2
9P26,4606.8
9P27,5000.0
9P28,4989.0
9P29,5000.0
IA20,4990.1
IA21,4988.7
IA22,4562.6
IA23,5000.0
IA24,4829.9
IA25,4795.8
IA26,3823.8
IA27,4993.4
IA28,5000.0
IA29,4146.9
IA30,4970.2
IA31,5000.0
IA33,4980.5
IA34,5000.0
IA35,4848.1
IA36,5000.0
IA37,4947.6
IA38,5000.0
IA39,5000.0
IA40,4997.9
IA41,4783.0
IA42,4936.6
IA43,4944.4
IA44,5000.0
IA45,4275.3
IA46,4984.7
IA47,4605.2
IA48,4963.1
IA49,4988.4
IB20,4491.8
IB22,5000.0
IB23,5000.0
IB24,4920.2
IB25,4951.1
IB26,4956.4
IB27,5000.0
IB28,0.0
IB29,4636.9
IB30,4556.0
IB31,4796.4
IB32,5000.0
IB33,5000.0
IB34,5000.0
ID20,4392.6
ID21,3788.3
ID22,4894.2
ID23,4949.6
ID24,5000.0
ID25,4529.2
ID26,4856.3
ID27,4343.0
ID28,4529.6
ID30,4540.6
ID31,868.7
IE20,0.0
IE21,2075.4
IE22,3008.8
IE23,479.2
IE24,0.0
IE25,3890.7
IE26,4956.5
IE27,0.0
IE28,4535.6
IE29,0.0
IF20,0.0
IF21,4625.8
IF22,4472.8
IF23,4143.0
IF24,3627.8
IF25,4292.9
IF26,3263.0
IF27,4755.6
IF28,1674.4
IF29,4979.1
IF30,250.0
IF31,1030.0
IF32,3600.0
IF33,4509.4
IF34,3918.0
