FEEDER,CAPACITY
5A21,3143
5A22,2215
5A23,2057
5A24,2324.64
5A25,2057
5A26,3340
5A27,2175
5A28,2234
5A29,2313
5A30,2550
5A31,2491
5A32,2263.86
5A33,2215
5A34,2175
5A35,2586.99
5A37,2155
5A38,2550
5A39,2491
5A40,2689
5A73,2827
5A76,3854
5A77,2748
5A78,2931.74
5B21,0
5B22,2171
5B23,2719.86
5B24,1717
5B25,2033
5B26,2073
5C21,2155
5C23,3320
5C24,2076
5C26,1839
5C28,2886
5C30,2610
5C31,2373
5C32,2412
5C33,1899
5C34,3715
5C35,2550
5C36,3004
5C39,2634.84
5C40,2787
5C71,2076
5C72,4525
5C74,3498
5C76,4327
5C78,3933
5D21,1975.24
5D22,1879
5D23,3170.85
5D24,3735
5D25,2294
5D27,1958
5D28,2482.72
5D29,2949.82
5D30,3538
5D31,2392
5D32,2195
5D33,3696.12
5D34,2626.96
5D36,1997
5D37,2017
5D38,3721.26
5D39,3024
5D40,2985
5D71,3854
5D72,2590
5D77,4367
5D78,4406
5E21,2096
5E22,2432
5E23,2921.4
5E26,2866
5E27,2037
5E31,3024
5E33,3311.64
5E36,3282.53
5E37,1859
5E38,2550
5E71,3972
5E72,2985
5E76,3617
5E77,5450.01
5F57,4841
5F58,3419
5F62,3698.7
5F63,5186.88
5F67,3261
5F68,3313.26
5F77,4243
5F78,3775
5G21,2665
5G23,1855
5G24,1776
5G31,1697
5G32,2744
5G34,2132
5I41,2869.095
5I42,2538.8
5I46,2116
5I47,2412
5I48,1879
5I51,4485
5I53,5789
5I54,2473.44
5I55,5117
5I56,2866
5I57,2037
5I58,4801
5I61,2775
5I64,2906
5I65,3730.6
5I66,4367
5I67,5196
5I68,2945
CE31,2216.36
CE32,2473.58
CE33,2163
CE34,2053
CE35,2122
CE36,2385
CE37,3200
CE38,1749
CE39,1776
CG32,1942.6
CG33,1735
CG34,2021.98
CH31,2036.25
CH32,1970
CH33,1694
CH34,2260
CH35,2604.24
CH36,1887
CH37,2537
CH38,2302
CH39,2633
CH40,2329
CI36,2422
CI38,1759.58
CJ31,2163
CJ33,1583
CJ35,1528
CJ36,1873
CJ37,1805.58
CJ40,1763
CK35,2606
CK36,2987.92
CK37,2495
CL35,2076
CL38,2505
CL40,1828
CM45,1897
CP31,1970
CP32,1901
CP33,2315
CP34,1873
CP35,1832
CP36,2606
CP37,3794
CP38,2924
CP39,1735
CP40,2620
CQ31,2408
CQ32,2781
CQ33,2381
CQ34,2187
CQ35,3033
CQ36,2325
CQ37,2187
CQ38,2021
CQ39,2394
CQ40,2795
CQ51,4786
CQ52,2795
CQ53,2602
CQ54,3210
CQ55,2933
CQ58,2159
CQ59,2574
CQ60,4260
CR31,2298
CR33,2629.85
CR37,2295.36
CR41,2588
CR42,2353
CR46,2406.25
CR47,2090
CS40,2025
CU31,2371
CV31,2661
CV32,2147.56
CV33,2495
CV34,1925.248
CV36,2747.09
CV37,2625.9
CV39,2385
CW20,2615
CW21,3085
CW22,1803.41
CW23,2712
CW24,2339
CW26,2256
CW27,2657
CW28,2629
CW29,3555
CW31,1869
CW32,2007
CW33,3237
CW34,2795
CW35,2007
