ROWNUM,X,Y,FEEDER
﻿1,169315.90700000001,2548413.3339999998,4A29
﻿2,169492.59899999999,2548809.4679999999,4A29
﻿3,169274.136,2548288.0520000001,4A29
﻿4,169371.50700000001,2548553.4959999998,4A29
﻿5,181496.41200000001,2508491.2009999999,6A21
﻿6,180428.299,2508041.9939999999,6A21
﻿7,181364.51300000001,2508919.415,6A21
﻿8,180689.06200000001,2508492.801,6A21
﻿9,181154.06899999999,2508480.8390000002,6A21
﻿10,180371.84400000001,2508608.1379999998,6A21
﻿11,180548.57800000001,2508363.182,6A21
﻿12,181161.11499999999,2508535.9840000002,6A21
﻿13,181237.06700000001,2508572.1009999998,6A21
﻿14,181389.50099999999,2508737.8679999998,6A21
﻿15,181467.18799999999,2508689.8130000001,6A21
﻿16,180397.815,2508117.1090000002,6A21
﻿17,180622.27799999999,2508389.8560000001,6A21
﻿18,181650.73999999999,2508467.5449999999,6A21
﻿19,180510.81099999999,2508594.625,6A21
﻿20,181269.47200000001,2508473.2450000001,6A21
﻿21,180418.83300000001,2508354.318,6A21
﻿22,180495.764,2508596.4559999998,6A21
﻿23,180896.35399999999,2508485.5580000002,6A21
﻿24,180477,2508571.4440000001,6A21
﻿25,180509.70600000001,2507467.4369999999,6A21
﻿26,180314.367,2508260.5610000002,6A21
﻿27,181321.45499999999,2508627.9369999999,6A21
﻿28,181344.29300000001,2508815.1379999998,6A21
﻿29,180592.32399999999,2508229.909,6A21
﻿30,181346.53700000001,2508584.2609999999,6A21
﻿31,181407.859,2508539.2170000002,6A21
﻿32,180838.70600000001,2508518.423,6A21
﻿33,180731.89300000001,2508494.3990000002,6A21
﻿34,180380.231,2508529.4700000002,6A21
﻿35,181220.913,2508711.523,6A21
﻿36,180859.663,2508465.2050000001,6A21
﻿37,180645.77499999999,2508597.281,6A21
﻿38,180514.611,2508732.585,6A21
﻿39,181832.71299999999,2508590.1880000001,6A21
﻿40,180471.85500000001,2508427.469,6A21
﻿41,180661.68299999999,2508674.4240000001,6A21
﻿42,180535.27900000001,2508537.5299999998,6A21
﻿43,181018.65299999999,2508478.247,6A21
﻿44,180380.946,2507676.7370000002,6A21
﻿45,180530.56200000001,2508013.8280000002,6A21
﻿46,180719.27299999999,2508555.3700000001,6A21
﻿47,180346.921,2508306.8700000001,6A21
﻿48,181783.29699999999,2508494.5070000002,6A21
﻿49,181547.18400000001,2508577.6979999999,6A21
﻿50,181286.60200000001,2508896.7009999999,6A21
﻿51,180450.554,2507724.0120000001,6A21
﻿52,181457.33600000001,2508815.2030000002,6A21
﻿53,181465.122,2508710.3999999999,6A21
﻿54,180948.47,2508550.6770000001,6A21
﻿55,180548.81599999999,2507721.9270000001,6A21
﻿56,180621.90299999999,2508750.2200000002,6A21
﻿57,180488.10500000001,2507829.4330000002,6A21
﻿58,181085.486,2508564.551,6A21
﻿59,180719.13800000001,2507981.7310000001,6A21
﻿60,181241.06599999999,2508675.0899999999,6A21
﻿61,180594.277,2508444.003,6A21
﻿62,180848.288,2508611.0210000002,6A22
﻿63,180720.989,2508602.3399999999,6A22
﻿64,181073.66099999999,2508634.3739999998,6A22
﻿65,181292.29000000001,2508814.73,6A22
﻿66,181041.71799999999,2508756.7179999999,6A22
﻿67,180820.39999999999,2508711.3790000002,6A22
﻿68,180670.28899999999,2508700.6200000001,6A22
﻿69,180776.83600000001,2508732.4759999998,6A22
﻿70,181072.93799999999,2508815.2719999999,6A22
﻿71,181114.073,2508611.898,6A22
﻿72,181233.57199999999,2508782.8339999998,6A22
﻿73,180937.32000000001,2508695.122,6A22
﻿74,181199.90400000001,2508757.9300000002,6A22
﻿75,180982.29000000001,2508584.0929999999,6A22
﻿76,180704.913,2508681.2790000001,6A22
﻿77,180240.435,2510251.6320000002,6A23
﻿78,180831.01699999999,2510049.2650000001,6A23
﻿79,180455.42499999999,2509620.1889999998,6A23
﻿80,180695.13800000001,2510470.9130000002,6A23
﻿81,180316.64499999999,2510398.6680000001,6A23
﻿82,180152.68599999999,2510207.693,6A23
﻿83,180542.87400000001,2509281.1570000001,6A23
﻿84,180169.318,2509172.1499999999,6A23
﻿85,180352.236,2509327.9029999999,6A23
﻿86,179829.94,2509390.1770000001,6A23
﻿87,180108.48699999999,2510940.2059999998,6A23
﻿88,180318.258,2510519.733,6A23
﻿89,180550.595,2510641.6189999999,6A23
﻿90,179910.05300000001,2509428.1979999999,6A23
﻿91,180169.859,2509347.5529999998,6A23
﻿92,180574.514,2510555.2859999998,6A23
﻿93,180417.48999999999,2510561.767,6A23
﻿94,180508.20800000001,2509449.8599999999,6A23
﻿95,180245.42499999999,2510108.3760000002,6A23
﻿96,180357.43599999999,2509568.8360000001,6A23
﻿97,180358.636,2510810.0499999998,6A23
﻿98,180341.557,2510056.9640000002,6A23
﻿99,180147.25599999999,2509507.1499999999,6A23
﻿100,180414.25200000001,2509965.3930000002,6A23
﻿101,180344.30600000001,2509209.8489999999,6A23
﻿102,180329.932,2510304.469,6A23
﻿103,179768.89000000001,2509342.7850000001,6A23
﻿104,180770,2510290,6A23
﻿105,180262.05100000001,2509341.2590000001,6A23
﻿106,180743.96400000001,2510340.7999999998,6A23
﻿107,180658.04699999999,2510268.4029999999,6A23
﻿108,180674.58799999999,2510091.4130000002,6A23
﻿109,180248.06299999999,2510702.7400000002,6A23
﻿110,180719.48300000001,2510136.8679999998,6A23
﻿111,180337.739,2509439.909,6A23
﻿112,179946.16899999999,2509302.7110000001,6A23
﻿113,180113.15400000001,2511114.6540000001,6A23
﻿114,180858.155,2509434.2239999999,6A23
﻿115,180011.538,2509313.0359999998,6A23
﻿116,180386.40100000001,2510735.1699999999,6A23
﻿117,180114.484,2511037.702,6A23
﻿118,180283.44399999999,2509217.5469999998,6A23
﻿119,180417.33100000001,2510330.176,6A23
﻿120,180616.66800000001,2510566.6600000001,6A23
﻿121,180516.04699999999,2510023.8730000001,6A23
﻿122,180285.94200000001,2509431.5920000002,6A23
﻿123,180180.489,2510753.4410000001,6A23
﻿124,180686.17000000001,2509339.3810000001,6A23
﻿125,180238.454,2509722.6490000002,6A23
﻿126,180232.57399999999,2510117.8960000002,6A23
﻿127,180626.83199999999,2510355.7620000001,6A23
﻿128,180137.31400000001,2510457.4849999999,6A23
﻿129,180271.33100000001,2510377.7889999999,6A23
﻿130,180598.94,2509985.5890000002,6A23
﻿131,180124.04300000001,2510691.409,6A23
﻿132,180688.152,2510128.7319999998,6A23
﻿133,180808.845,2509393.4619999998,6A23
﻿134,179925.995,2509145.898,6A23
﻿135,180879.41399999999,2510134.9900000002,6A23
﻿136,180411.65900000001,2510864.236,6A23
﻿137,180721.95199999999,2510447.9780000001,6A23
﻿138,180482.34299999999,2510769.787,6A23
﻿139,180384.228,2510615.023,6A23
﻿140,180184.00599999999,2511232.7230000002,6A23
﻿141,180233.79000000001,2509886.9750000001,6A23
﻿142,180438.255,2510621.392,6A23
﻿143,179832.92000000001,2509261.3709999998,6A23
﻿144,180594.25599999999,2510433.3259999999,6A23
﻿145,180840,2510290,6A23
﻿146,180370.59099999999,2509974.3250000002,6A23
﻿147,180425.81599999999,2509305.1060000001,6A23
﻿148,180464.497,2509259.148,6A23
﻿149,180731.32199999999,2509373.9950000001,6A23
﻿150,180015.565,2509494.7779999999,6A23
﻿151,180172.29199999999,2508936.173,6A23
﻿152,180432.96400000001,2510053.4139999999,6A23
﻿153,180268.92300000001,2509573.0070000002,6A23
﻿154,180277.64499999999,2510410.523,6A23
﻿155,180326.359,2510220.0440000002,6A23
﻿156,180090.76500000001,2510108.9920000001,6A23
﻿157,180242.785,2509619.2609999999,6A23
﻿158,180729.386,2510069.9959999998,6A23
﻿159,180108.76000000001,2510881.1170000001,6A23
﻿160,180349.041,2510121.111,6A23
﻿161,180221.20199999999,2510807.9980000001,6A23
﻿162,180479.09099999999,2510438.6740000001,6A23
﻿163,180156.39000000001,2510020.9029999999,6A23
﻿164,180552.92199999999,2510342.719,6A23
﻿165,180241.03400000001,2509924.2570000002,6A23
﻿166,180750.94699999999,2509015.7930000001,6A24
﻿167,180627.07000000001,2509117.9950000001,6A24
﻿168,181159.391,2509775.8080000002,6A24
﻿169,181058.821,2509207.1570000001,6A24
﻿170,181207.68400000001,2509281.895,6A24
﻿171,181123.902,2509527.2719999999,6A24
﻿172,181071.48300000001,2509521.8999999999,6A24
﻿173,181399.67600000001,2509441.8560000001,6A24
﻿174,181598.06599999999,2509523.2110000001,6A24
﻿175,181051.50099999999,2509777.2799999998,6A24
﻿176,181159.068,2509176.7459999998,6A24
﻿177,181273.223,2509279.3360000001,6A24
﻿178,181045.51500000001,2509141.8309999998,6A24
﻿179,181383.95000000001,2509173.8999999999,6A24
﻿180,181498.978,2509541.8969999999,6A24
﻿181,180585.07199999999,2509115.6299999999,6A24
﻿182,180623.07399999999,2509202.5430000001,6A24
﻿183,180941.791,2509173.375,6A24
﻿184,181371.098,2509592.5129999998,6A24
﻿185,181251.65100000001,2509370.3990000002,6A24
﻿186,180878.31700000001,2509064.5389999999,6A24
﻿187,181236.59299999999,2509721.361,6A24
﻿188,181884.98499999999,2509562.2080000001,6A24
﻿189,181198.38200000001,2509669.736,6A24
﻿190,181310.93700000001,2509393.1639999999,6A24
﻿191,181119.91,2509364.3119999999,6A24
﻿192,181432.39199999999,2509663.9670000002,6A24
﻿193,181510.973,2509709.1510000001,6A24
﻿194,181733.73499999999,2509455.8450000002,6A24
﻿195,180977.19899999999,2509417.0809999998,6A24
﻿196,180695.36199999999,2509005.0830000001,6A24
﻿197,181148.14799999999,2509684.4939999999,6A24
﻿198,180995.43799999999,2509217.125,6A24
﻿199,180763.179,2509299.3500000001,6A24
﻿200,180961.647,2509068.7940000002,6A24
﻿201,181426.87299999999,2509374.909,6A24
﻿202,181669.63500000001,2509594.7429999998,6A24
﻿203,181051.592,2509827.46,6A24
﻿204,181853.28700000001,2509627.9219999998,6A24
﻿205,180890.63399999999,2509123.1060000001,6A24
﻿206,181446.82000000001,2508890.3190000001,6A24
﻿207,181032.07699999999,2509299.3650000002,6A24
﻿208,180518.04999999999,2509206.1660000002,6A24
﻿209,181939.674,2509532.7370000002,6A24
﻿210,181029.08799999999,2509412.085,6A24
﻿211,181840.12100000001,2509729.7429999998,6A24
﻿212,181668.20300000001,2509417.3470000001,6A24
﻿213,181094.351,2509635.1189999999,6A24
﻿214,180958.47500000001,2509327.182,6A24
﻿215,181682.43299999999,2509590.2489999998,6A24
﻿216,181159.06299999999,2509813.7910000002,6A24
﻿217,182434.66099999999,2510283.531,6A25
﻿218,182398.28,2510139.733,6A25
﻿219,181434.99100000001,2509091.4470000002,6A25
﻿220,181772.44099999999,2510133.8820000002,6A25
﻿221,182294.15299999999,2510305.503,6A25
﻿222,182116.48800000001,2510415.2680000002,6A25
﻿223,181923.59400000001,2510371.8130000001,6A25
﻿224,182590.69399999999,2509946.6860000002,6A25
﻿225,181267.995,2509348.4870000002,6A25
﻿226,181718.46299999999,2510356.0559999999,6A25
﻿227,182427.77900000001,2510300.915,6A25
﻿228,182195.649,2510170.5159999998,6A25
﻿229,181305.11799999999,2509379.3369999998,6A25
﻿230,181195.606,2509416.2710000002,6A25
﻿231,182620.34400000001,2509906.9100000001,6A25
﻿232,181316.245,2509586.1899999999,6A25
﻿233,182612.41800000001,2509816.4139999999,6A25
﻿234,182060.89000000001,2510361.895,6A25
﻿235,182087.41500000001,2510404.8879999998,6A25
﻿236,182377.91399999999,2510347.912,6A25
﻿237,181781.236,2510288.2609999999,6A25
﻿238,182087.95000000001,2510173.3509999998,6A25
﻿239,182375.76699999999,2510048.0219999999,6A25
﻿240,182285.291,2509736.2149999999,6A25
﻿241,182344.39999999999,2510286.9819999998,6A25
﻿242,182179.22399999999,2510260.4720000001,6A25
﻿243,181884.01199999999,2510012.9029999999,6A25
﻿244,181809.20000000001,2510441.3539999998,6A25
﻿245,181952.72500000001,2510115.0869999998,6A25
﻿246,181940.152,2510407.8149999999,6A25
﻿247,182558.568,2510060.2340000002,6A25
﻿248,182263.236,2510226.4789999998,6A25
﻿249,182281.845,2509970.8130000001,6A25
﻿250,182125.93700000001,2509885.5800000001,6A25
﻿251,182475.34400000001,2510185.0819999999,6A25
﻿252,181982.89600000001,2509912.929,6A25
