FEEDER,CAPACITY
4A11,4029.84
4A12,2628
4A13,4110.195
4A14,4523
4A15,2768
4A16,3569.315
4A17,4522.2
4A18,3301.87
4A19,2755.58
4A20,3007.1
4A21,3324.755
4A22,3431.499
4A23,4282.11
4A24,2837
4A25,3426.22
4A26,2039.2
4A27,3555
4A28,2756.745
4A29,4094.665
4A30,3500
4D51,2720.9
4D52,1705.92
4D53,2050.2
4D54,1511.04
4D55,1595.4
4D56,1313.81
4D57,3072
4D61,2554.98
4D62,4422.925
4D63,2055.67
4D64,3927.04
4D65,1994
4D66,4067
4E11,2511.18
4E12,1602.2
4E13,2215
4E14,1855
4E15,3282.875
4E16,3039.04
4E17,1980
4E18,3790
4E20,3270.345
4K61,3873
4K62,4813
4K63,4703
4K72,3466.1
4K76,2436
B826,2092
B828,1512.07
BN21,2204.25
BN34,2665.76
BN40,2569.8
JH22,2281.73
JL24,3010.46
JO28,2194.64
JW21,3083.86
JY21,1624
JZ21,2772
JZ30,2949.6
K216,3864.615
K217,3752.91
K218,2724.16
K219,2266.145
K220,3138
K221,3750.71
K222,711.75
K224,3583
K225,3490.63
K252,2242
K254,4768.64
K261,4620
K262,4866.44
K263,2242
K267,2491
K271,3057.6
K273,5698
K275,2430.74
K278,3871.96
K27A,3044
K27D,4333.34
K311,3144.1
K312,4172
K313,3097.258
K314,4044.36
K315,3387.25
K316,4373.55
K317,3531.85
K318,2627.595
K319,2587.5
K320,3000.44
K325,4081
K330,3764.5
K361,4813
K363,2187
K364,2837.705
K366,1800
K367,5591.66
K371,2381
K372,4122
K373,2442.904
K375,2644.11
K376,2351.56
K377,2381
K411,3500
K412,3320
K413,3141
K414,3603.15
K415,3141
K416,2823
K417,3747
K418,4302.75
K419,2623.275
K420,1984.135
K421,2491
K422,3777
K423,3085
K424,2201
K425,3589.98
K426,2624.75
K428,3058
K429,2848.195
K430,4758
K461,3641.92
K464,4703
K467,5433.13
K468,2685
K471,4798.11
K472,2391.61
K477,6215.44
K478,2657
K611,2629
K612,3666
K614,3287.412
K615,3865.535
K621,2363.085
K622,2486.665
K624,3547.63
K625,2654.16
K632,3212.21
K633,2229.61
K634,3332.25
K635,3790
K641,2835.04
K644,2588
K645,2953.65
K811,3624
K812,4324.135
K813,2636.22
K815,4544.195
K821,3345.64
K822,3118.11
K823,2526.63
K824,2292.59
K825,2698.35
K831,4760.24
K832,3328.3
K833,3024.11
K834,4364.5
K835,3476.42
K841,4064.67
K843,2443.22
K844,3484.25
K845,2924.23
K861,3772.19
K863,0
K864,2008.5
K866,4260
K868,2187
KA52,5013.82
KA53,2934.996
KA54,3662.8
KA55,3011.84
KA56,5275.19
KA57,2557.25
KA58,6555
KA62,4527.88
KA63,4992.13
KA64,4339.43
KA65,4316
KA66,4850.485
KA67,2270
KA68,2262.72
KA72,2685
KA73,2638.6
KA74,2784.92
KA75,3763
KA76,4102
KA77,4778.75
KA78,4106.01
KB21,3566.04
KB22,1971.615
KB23,2858.665
KB24,4043
KB25,3439.25
KB26,3646.85
KB27,3361.78
KB28,3867.25
KB29,3256.11
KB30,2778.84
KB31,3799.62
KB32,2394.64
KB33,3773.16
KB34,2632.375
KB35,2755.25
KC21,1694
KC22,1583
KC23,2025
KC24,1535.48
KC25,2832.585
KD21,2777
KD23,2700.9
KD24,4288.46
KD25,2191
KD27,1749
KD28,2945.68
KD29,2934.215
KD30,2937.25
KE51,4643.66
KE53,3014.72
KE54,4688.42
KE55,2629
KE61,2408
KE62,3069.88
KE63,7412
KE64,2381
KE67,2133.78
KE68,5452.21
KE71,2776.28
KE74,5830.4
KE75,2758.25
KF21,3338
KF22,2537
KF23,2412
KF24,4081.11
KF25,2744
KF26,3092
KF27,2798.8
KF28,2891.25
KF29,3170.66
KF30,3685.45
KF31,2329.815
KF32,1796.76
KF33,3200
KF34,3541.74
KF35,2329
KG21,2922.455
KG22,3224
KG23,3210
KG24,3072
KG25,3904.48
KG26,3479
KG54,2436
KG55,3006.2
KG56,6164.06
KG57,3312.9
KG60,5158.21
KG61,4286
KG62,3822.78
KG64,4647
KG65,3321.04
KG66,2159
KG67,3930.86
KG71,1911
KG72,5363.98
KG74,6167.2
KG75,4256.43
KG76,3591.185
KG77,4675
KG78,6006.365
KH11,4499.979
KH12,3327.9
KH13,3659.229
KH14,3614.64
KH16,4202.7
KH17,3189.825
KH19,4060.025
KH20,3780.54
KH31,3792.27
KH32,3016
KH33,2821.82
KH37,3898.92
KH38,3655.4
KH41,4064.5
KH42,4126.25
KH43,3220.98
KH44,3356.04
KH45,3843.455
KH61,6826.745
KH62,5553.06
KH63,4376.72
KH64,5471.08
KH65,6107.81
KH71,3360.1
KH72,5381.42
KH73,4552.5
KH74,3346.5
KH75,4813
KH76,2685.2
KI21,3805.58
KI22,3212.99
KI23,1528
KI24,3208.575
KI25,3242
KI26,2983.81
KI27,1528
KI28,2191.24
KI29,4302.6
KI30,2785
KI31,1597
KI32,3559
KI33,2441.615
KI34,2687
KI35,2783.25
KI36,3209.36
KI37,3622.87
KI38,3356.96
KI39,2686.43
KI40,2440.415
KJ22,2344.555
KJ23,2329
KJ24,2408.95
KJ25,2270.415
KJ26,2803.455
KJ27,3428.605
KJ28,2933.48
KJ30,2573.64
KK21,1555
KK22,1528
KK23,2169.05
KK24,2222.96
KK25,1624
KK26,2122.04
KK27,2042.74
KK28,1753.25
KK29,2661
KK30,4237
