ROWNUM,X,Y,FEEDER
﻿1,276443.00900000002,2554973.2080000001,PJ22
﻿2,273097.00099999999,2559136.0290000001,PJ22
﻿3,273237.92800000001,2559194.8730000001,PJ22
﻿4,276371.81599999999,2555963.4249999998,PJ22
﻿5,276551.18300000002,2555120.3629999999,PJ22
﻿6,272173.51000000001,2559933.0520000001,PJ25
﻿7,272322.598,2559908.0989999999,PJ25
﻿8,272438.24200000003,2559928.1310000001,PJ25
﻿9,271310.89399999997,2560257.9470000002,PJ25
﻿10,272325.46100000001,2559724.5780000002,PJ25
﻿11,272231.967,2559906.3909999998,PJ25
﻿12,270960.50099999999,2560434.8360000001,PJ25
﻿13,271945.41800000001,2559963.7790000001,PJ25
﻿14,272046.01500000001,2559773.4019999998,PJ25
﻿15,271526.89199999999,2560234.1770000001,PJ25
﻿16,271790.489,2559830.0869999998,PJ25
﻿17,271611.18800000002,2560032.6030000001,PJ25
﻿18,265059.18199999997,2517815.8050000002,QA21
﻿19,265137.79599999997,2517743.4819999998,QA21
﻿20,265048.53399999999,2517292.2769999998,QA21
﻿21,264817.44500000001,2517571.8730000001,QA21
﻿22,265195.11200000002,2517399.5380000002,QA21
﻿23,265117.14600000001,2517505.4789999998,QA21
﻿24,265345.092,2517496.9640000002,QA21
﻿25,265092.886,2517623.054,QA21
﻿26,265179.19300000003,2517486.3650000002,QA21
﻿27,264654.30099999998,2517646.8160000001,QA21
﻿28,265035.20799999998,2517490.1400000001,QA21
﻿29,264541.185,2517803.6039999998,QA21
﻿30,265241.47600000002,2517427.202,QA21
﻿31,265175.962,2517706.6699999999,QA21
﻿32,264587.533,2517697.7059999998,QA21
﻿33,265247.04800000001,2517650.9939999999,QA21
﻿34,265225.43199999997,2517356.2820000001,QA21
﻿35,265086.52299999999,2517381.1579999998,QA21
﻿36,264970.89600000001,2517545.3590000002,QA21
﻿37,264692.07400000002,2517578.6949999998,QA21
﻿38,264763.071,2517571.1069999998,QA21
﻿39,264997.989,2517870.5660000001,QA21
﻿40,263773.451,2517757.7379999999,QA22
﻿41,263695.31199999998,2517760.8139999998,QA22
﻿42,263870.685,2517600.3640000001,QA22
﻿43,263811.01699999999,2517941.6439999999,QA22
﻿44,263937.99099999998,2517557.7620000001,QA22
﻿45,264380.80599999998,2517202.2650000001,QA22
﻿46,263912.728,2517809.1370000001,QA22
﻿47,264287.99200000003,2517151.648,QA22
﻿48,264208.68099999998,2517233.7799999998,QA22
﻿49,263812.04599999997,2517767.094,QA22
﻿50,264371.96100000001,2517177.5210000002,QA22
﻿51,263755.01199999999,2517840.247,QA22
﻿52,264073.27799999999,2517426.5260000001,QA22
﻿53,263993.65600000002,2517405.8960000002,QA22
﻿54,264253.14299999998,2517374.4270000001,QA22
﻿55,263544.36599999998,2518266.3640000001,QA23
﻿56,263329.647,2518656.4739999999,QA23
﻿57,263425.09700000001,2518491.1179999998,QA23
﻿58,263486.15600000002,2518325.2850000001,QA23
﻿59,263353.63400000002,2519143.3050000002,QA23
﻿60,263792.24300000002,2518259.298,QA23
﻿61,262959.59700000001,2519062.7480000001,QA23
﻿62,263450.75699999998,2518892.682,QA23
﻿63,263486.58299999998,2518284.8390000002,QA23
﻿64,263412.255,2519212.0299999998,QA23
﻿65,263403.26899999997,2518580.0070000002,QA23
﻿66,263658.70799999998,2518405.639,QA23
﻿67,262942.72600000002,2518730.6680000001,QA23
﻿68,262979.76899999997,2518590.8429999999,QA23
﻿69,262988.283,2518990.7940000002,QA23
﻿70,263125.47899999999,2518878.1529999999,QA23
﻿71,262862.36200000002,2518800.6340000001,QA23
﻿72,262966.679,2518658.3029999998,QA23
﻿73,263039.935,2519089.0019999999,QA23
﻿74,263109.70299999998,2518604.656,QA23
﻿75,263738.33500000002,2518205.4920000001,QA23
﻿76,263247.86499999999,2518944.3339999998,QA23
﻿77,263309.66999999998,2518928.8319999999,QA23
﻿78,263233.32199999999,2518829.3700000001,QA23
﻿79,263459.35999999999,2518542.5389999999,QA23
﻿80,263700.36599999998,2518397.5639999998,QA23
