資料集識別碼,資料集名稱,服務分類,檔案格式,資料下載網址,編碼格式,資料集類型,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,相關網址,計費方式,提供機關聯絡人姓名,提供機關聯絡人電話,上架日期,詮釋資料更新時間,備註
44193,台灣電力公司_台北市再生能源可併網容量,公共資訊,ZIP,http://data.taipower.com.tw/opendata/apply/file/d077009/TAIPEI.zip,UTF-8,a01,"提供台北市的饋線可併網容量、變壓器的TWD67 X、Y座標値及所屬饋線",FEEDER;CAPACITY;ROWNUM;X;Y,台灣電力股份有限公司,每半年,政府資料開放授權條款-第1版,,免費,謝小姐,0223668581,"2017/03/30 00:00","2019/11/20 16:38","授權說明網址: http://data.gov.tw/license"
44194,台灣電力公司_新北市再生能源可併網容量,公共資訊,ZIP,http://data.taipower.com.tw/opendata/apply/file/d077009/NEWTAIPEI.zip,UTF-8,a01,"提供新北市的饋線可併網容量、變壓器的TWD67 X、Y座標値及所屬饋線",FEEDER;CAPACITY;ROWNUM;X;Y,台灣電力股份有限公司,每半年,政府資料開放授權條款-第1版,,免費,謝小姐,0223668581,"2017/03/30 00:00","2019/11/28 14:55","授權說明網址: http://data.gov.tw/license"
44195,台灣電力公司_桃園市再生能源可併網容量,公共資訊,ZIP,http://data.taipower.com.tw/opendata/apply/file/d077009/TAOYUAN.zip,UTF-8,a01,"提供桃園市的饋線可併網容量、變壓器的TWD67 X、Y座標値及所屬饋線",FEEDER;CAPACITY;ROWNUM;X;Y,台灣電力股份有限公司,每半年,政府資料開放授權條款-第1版,,免費,謝小姐,0223668581,"2017/03/30 00:00","2019/11/20 16:39","授權說明網址: http://data.gov.tw/license"
44196,台灣電力公司_台中市再生能源可併網容量,公共資訊,ZIP,http://data.taipower.com.tw/opendata/apply/file/d077009/TAICHUNG.zip,UTF-8,a01,"提供台中市的饋線可併網容量、變壓器的TWD67 X、Y座標値及所屬饋線",FEEDER;CAPACITY;ROWNUM;X;Y,台灣電力股份有限公司,每半年,政府資料開放授權條款-第1版,,免費,謝小姐,0223668581,"2017/03/30 00:00","2019/11/20 16:39","授權說明網址: http://data.gov.tw/license"
44202,台灣電力公司_台南市再生能源可併網容量,公共資訊,ZIP,http://data.taipower.com.tw/opendata/apply/file/d077009/TAINAN.zip,UTF-8,a01,"提供台南市的饋線可併網容量、變壓器的TWD67 X、Y座標値及所屬饋線",FEEDER;CAPACITY;ROWNUM;X;Y,台灣電力股份有限公司,每半年,政府資料開放授權條款-第1版,,免費,謝小姐,0223668581,"2017/03/30 00:00","2019/11/20 16:39","授權說明網址: http://data.gov.tw/license"
44203,台灣電力公司_高雄市再生能源可併網容量,公共資訊,ZIP,http://data.taipower.com.tw/opendata/apply/file/d077009/KAOHSIUNG.zip,UTF-8,a01,"提供高雄市的饋線可併網容量、變壓器的TWD67 X、Y座標値及所屬饋線",FEEDER;CAPACITY;ROWNUM;X;Y,台灣電力股份有限公司,每半年,政府資料開放授權條款-第1版,,免費,謝小姐,0223668581,"2017/03/30 00:00","2019/11/20 16:39","授權說明網址: http://data.gov.tw/license"
44204,台灣電力公司_嘉義縣市再生能源可併網容量,公共資訊,ZIP,http://data.taipower.com.tw/opendata/apply/file/d077009/CHIAYI.zip,UTF-8,a01,"提供嘉義縣市的饋線可併網容量、變壓器的TWD67 X、Y座標値及所屬饋線",FEEDER;CAPACITY;ROWNUM;X;Y,台灣電力股份有限公司,每半年,政府資料開放授權條款-第1版,,免費,謝小姐,0223668581,"2017/03/30 00:00","2019/11/20 16:39","授權說明網址: http://data.gov.tw/license"
44206,台灣電力公司_苗栗縣再生能源可併網容量,公共資訊,ZIP,http://data.taipower.com.tw/opendata/apply/file/d077009/MIAOLI.zip,UTF-8,a01,"提供苗栗縣的饋線可併網容量、變壓器的TWD67 X、Y座標値及所屬饋線",FEEDER;CAPACITY;ROWNUM;X;Y,台灣電力股份有限公司,每半年,政府資料開放授權條款-第1版,,免費,謝小姐,0223668581,"2017/03/30 00:00","2019/11/20 16:39","授權說明網址: http://data.gov.tw/license"
44207,台灣電力公司_彰化縣再生能源可併網容量,公共資訊,ZIP,http://data.taipower.com.tw/opendata/apply/file/d077009/CHANGHUA.zip,UTF-8,a01,"提供彰化縣的饋線可併網容量、變壓器的TWD67 X、Y座標値及所屬饋線",FEEDER;CAPACITY;ROWNUM;X;Y,台灣電力股份有限公司,每半年,政府資料開放授權條款-第1版,,免費,謝小姐,0223668581,"2017/03/30 00:00","2019/11/20 16:39","授權說明網址: http://data.gov.tw/license"
44208,台灣電力公司_雲林縣再生能源可併網容量,公共資訊,ZIP,http://data.taipower.com.tw/opendata/apply/file/d077009/YUNLIN.zip,UTF-8,a01,"提供雲林縣的饋線可併網容量、變壓器的TWD67 X、Y座標値及所屬饋線",FEEDER;CAPACITY;ROWNUM;X;Y,台灣電力股份有限公司,每半年,政府資料開放授權條款-第1版,,免費,謝小姐,0223668581,"2017/03/30 00:00","2019/11/20 16:39","授權說明網址: http://data.gov.tw/license"
